,work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_size
0,2024,SE,AI Engineer,202730,0,M
1,2024,SE,AI Engineer,92118,0,M
2,2024,SE,Data Engineer,130500,0,M
3,2024,SE,Data Engineer,96000,0,M
4,2024,SE,Machine Learning Engineer,190000,0,M
5,2024,SE,Machine Learning Engineer,160000,0,M
6,2024,MI,ML Engineer,400000,0,M
7,2024,MI,ML Engineer,65000,0,M
8,2024,EN,Data Analyst,101520,0,M
9,2024,EN,Data Analyst,45864,0,M
10,2024,SE,Data Engineer,172469,0,M
11,2024,SE,Data Engineer,114945,0,M
12,2024,EX,NLP Engineer,200000,0,M
13,2024,EX,NLP Engineer,150000,0,M
14,2024,MI,Data Scientist,156450,100,M
15,2024,MI,Data Scientist,119200,100,M
16,2024,SE,Data Analyst,170000,0,M
17,2024,SE,Data Analyst,130000,0,M
18,2024,SE,Applied Scientist,222200,0,L
19,2024,SE,Applied Scientist,136000,0,L
20,2024,MI,Data Manager,128000,0,M
21,2024,MI,Data Manager,81500,0,M
22,2024,SE,Data Architect,93838,0,M
23,2024,SE,Data Architect,69535,0,M
24,2024,EN,Data Analyst,75000,0,M
25,2024,EN,Data Analyst,65000,0,M
26,2024,MI,Data Operations Manager,150000,0,M
27,2024,MI,Data Operations Manager,125000,0,M
28,2024,MI,Research Scientist,260570,0,M
29,2024,MI,Research Scientist,167030,0,M
30,2024,EN,Data Engineer,120000,0,M
31,2024,EN,Data Engineer,100000,0,M
32,2024,SE,Data Engineer,190000,100,M
33,2024,SE,Data Engineer,155000,100,M
34,2024,SE,Data Analyst,174000,100,M
35,2024,SE,Data Analyst,116000,100,M
36,2024,MI,Data Analyst,100000,0,M
37,2024,MI,Data Analyst,80000,0,M
38,2024,MI,Data Analyst,145000,0,M
39,2024,MI,Data Analyst,95000,0,M
40,2024,MI,Data Scientist,120000,0,S
41,2024,MI,Data Scientist,70000,0,S
42,2024,MI,Data Scientist,130000,0,M
43,2024,MI,Data Scientist,110000,0,M
44,2024,MI,Data Science Manager,240000,0,M
45,2024,MI,Data Science Manager,180000,0,M
46,2024,SE,Business Intelligence Engineer,202800,0,M
47,2024,SE,Business Intelligence Engineer,115000,0,M
48,2024,SE,Data Architect,100000,0,M
49,2024,SE,Data Architect,56250,0,M
50,2024,SE,Data Analyst,69230,0,M
51,2024,SE,Data Analyst,57692,0,M
52,2024,MI,Data Analyst,112300,0,M
53,2024,MI,Data Analyst,75100,0,M
54,2024,MI,Business Intelligence,178200,0,M
55,2024,MI,Business Intelligence,87000,0,M
56,2024,SE,Data Scientist,138000,0,M
57,2024,SE,Data Scientist,72000,0,M
58,2024,MI,ML Engineer,252000,0,M
